number of observations,party_name,state,constituency,constituency_type,Checked,gender,member_name,profession,education_category,Source ( if not on sansad),Occupation category,Category 2,,TABLE,Occupation Categorry,Count,,Occupation category(shortened),Count
184,Bharatiya Janata Party,Gujarat,Porbandar,General,1,Male,Mansukh Mandaviya,Politician,Doctorate,,Politics,,,,,,,,
189,Telugu Desam Party,Andhra Pradesh,Visakhapatnam,General,1,Male,Sribharat Mathukumilli,Politician - Parliamentarian,Post Graduate,,Politics,,,,,,,,
192,Indian National Congress,Rajasthan,Tonk-Sawai Madhopur,General,1,Male,Harish Chandra Meena,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
204,Bharatiya Janata Party,West Bengal,Maldaha Uttar,General,,Male,Khagen Murmu,Politician,Graduate,,Politics,,,,,,,,
213,Indian National Congress,Rajasthan,Jhunjhunu,General,1,Male,Brijendra Singh Ola,Political and Social Worker,Post Graduate,,Politics,Social Worker,,,,,,,
239,Bharatiya Janata Party,Odisha,Puri,General,1,Male,Sambit Patra,Politician - Parliamentarian,Post Graduate,,Politics,,,,,,,,
249,Communist Party of India (Marxist-Lennist Liberation),Bihar,Arrah,General,1,Male,Sudama Prasad,Politician,Graduate,,Politics,,,,,,,,
251,Revolutionary Socialist Party,Kerala,Kollam,General,1,Male,N K Premachandran,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
255,Communist Party of India (Marxist),Tamil Nadu,Dindigul,General,1,Male,Sachithanantham R,Politician,Graduate,,Politics,,,,,,,,
256,Indian National Congress,Kerala,Kozhikode,General,1,Male,M K Raghavan,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
257,Bharatiya Janata Party,Karnataka,Shimoga,General,1,Male,B Y Raghavendra,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
258,Indian National Congress,Telangana,Nalgonda,General,1,Male,Kunduru Raghuveer,Politician,,,Politics,,,,,,,,
269,Bharatiya Janata Party,Andhra Pradesh,Anakapalle,General,1,Male,C M Ramesh,Political and Social Worker,Doctorate,,Politics,Social Worker,,,,,,,
284,Samajwadi Party,Uttar Pradesh,Sambhal,General,1,Male,Zia Ur Rehman,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
303,Bharatiya Janata Party,Jharkhand,Ranchi,General,1,Male,Sanjay Seth,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
314,Independent,Jammu and Kashmir,Baramulla,General,,Male,Abdul Rashid Sheikh,"Politician(kashmir, jailed)",,MyNeta,Politics,,,,,,,,
336,Bharatiya Janata Party,Haryana,Gurgaon,General,1,Male,Rao Inderjit Singh,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
345,Bharatiya Janata Party,Assam,Dibrugarh,General,,Male,Sarbananda Sonowal,Politician,,MyNeta,Politics,,,,,,,,
350,Sikkim Krantikari Morcha,Sikkim,Sikkim,General,1,Male,Indra Hang Subba,Politician - Parliamentarian,Physics,,Politics,,,,,,,,
351,Bharatiya Janata Party,Odisha,Aska,General,1,Female,Anita Subhadarshini,Politician,Post Graduate,,Politics,,,,,,,,
353,Indian National Congress,Kerala,Kannur,General,1,Male,K Sudhakaran,Political and Social Worker,Post Graduate,,Politics,Social Worker,,,,,,,
355,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Baramati,General,1,Female,Supriya Sule,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
383,Lok Jan Shakti Party (Ram Vilas),Bihar,Khagaria,General,1,Male,Rajesh Verma,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
392,Samajwadi Party,Uttar Pradesh,Badaun,General,1,Male,Aditya Yadav,Political and Social Worker,Post Graduate,,Politics,Social Worker,,,,,,,
428,Indian National Congress,Rajasthan,Bharatpur,Scheduled Caste,1,Female,Sanjna Jatav,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
435,Bharatiya Janata Party,West Bengal,Bishnupur,Scheduled Caste,1,Male,Saumitra Khan,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
449,Lok Jan Shakti Party (Ram Vilas),Bihar,Hajipur,Scheduled Caste,Male,Chirag Paswan,Politician - Parliamentarian,Graduate,MyNeta,,Politics,,,,,,,,
458,Bharatiya Janata Party,Uttar Pradesh,Misrikh,Scheduled Caste,1,Male,Ashok Kumar Rawat,Political and Social Worker,Post Graduate,,Politics,Social Worker,,,,,,,
466,Samajwadi Party,Uttar Pradesh,Kaushambi,Scheduled Caste,1,Male,Pushpendra Saroj,Politician,,,Politics,,,,,,,,
472,Indian National Congress,Punjab,Fatehgarh Sahib,Scheduled Caste,1,Male,Amar Singh,Political and Social Worker,Post Graduate,,Politics,Social Worker,,,,,,,
477,Indian National Congress,Kerala,Mavelikkara,Scheduled Caste,1,Male,Kodikunnil Suresh,Political and Social Worker,Graduate,,Politics,Social Worker,,,,,,,
529,Bharatiya Janata Party,Assam,Diphu,Scheduled Tribe,,Male,Amarsing Tisso,"Executive Member, Karbi Anglong Autonomous Council (KAAC)",MyNeta,,Politics,,,,,,,,
530,Indian National Congress,Karnataka,Bellary,Scheduled Tribe,1,Male,E Tukaram,Politician,Post Graduate,,Politics,,,,,,,,
538,Bharatiya Janata Party,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Scheduled Tribe,1,Female,Delkar Kalaben Mohanbhai,Political Activist,,,Politics,Social Worker,,,,,,,
99,Indian National Congress,Uttar Pradesh,Rae Bareli,General,1,Male,Rahul Gandhi,Strategy Consultant,Post Graduate,,Profession,,,,,,,,
112,Bharatiya Janata Party,Maharashtra,Mumbai North,General,1,Male,Piyush Vedprakash Goyal,Chartered Accountant,Graduate,,Profession,,,,,,,,
203,All India Trinamool Congress,West Bengal,Krishnanagar,General,1,Female,Mahua Moitra,Economist,Graduate,,Profession,,,,,,,,
209,Bharatiya Janata Party,Gujarat,Junagadh,General,,Male,Chudasama Rajeshbhai Naranbhai,Proprietor In a firm named N.R.Chudasama,12th,Myneta,Profession,,,,,,,,
279,Bharatiya Janata Party,Telangana,Chevella,General,1,Male,Konda Vishweshwar Reddy,Engineer,Graduate,,Profession,,,,,,,,
281,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Rajampet,General,1,Male,P V Midhun Reddy,Engineer,Graduate,,Profession,,,,,,,,
376,Indian National Congress,Tamil Nadu,Kanniyakumari,General,,Male,Vijayakumar Alias Vijay Vasanth,Vasanth and co. employee,,MyNeta,Profession,,,,,,,,
398,Janata Dal (United),Bihar,Madhepura,General,1,Male,Dinesh Chandra Yadav,Engineer,Diploma,,Profession,,,,,,,,
407,Telugu Desam Party,Andhra Pradesh,Amalapuram,Scheduled Caste,1,Male,G M Harish Balayogi,Technologist,Graduate,,Profession,,,,,,,,
468,Bharatiya Janata Party,Odisha,Bhadrak,Scheduled Caste,1,Male,Avimanyu Sethi,"Partner Shree Jagannath Gas Agency, Bhadrak",Post Graduate,MyNeta,Profession,,,,,,,,
497,All India Trinamool Congress,West Bengal,Jhargram,Scheduled Tribe,,Male,Kalipada Saren Kherwal,Bank Employee(retired),,MyNeta,Profession,,,,,,,,
504,Indian National Congress,Rajasthan,Dausa,Scheduled Tribe,1,Male,Murari Lal Meena,Engineer,Diploma,,Profession,,,,,,,,
50,Indian National Congress,Assam,Nagaon,General,1,Male,Pradyut Bordoloi,Public Service,Post Graduate,,Public Service,,,,,,,,
454,Communist Party of India (Marxist),Kerala,Alathur,Scheduled Caste,1,Male,K Radhakrishnan,Public Service,Graduate,,Public Service,,,,,,,,
5,All India Trinamool Congress,West Bengal,Uluberia,General,1,Female,Sajda Ahmed,Social Worker,Graduate,,Social worker,,,,,,,,
12,Indian National Congress,Bihar,Katihar,General,1,Male,Tariq Anwar,Social Worker,Graduate,,Social worker,,,,,,,,
18,Dravida Munnetra Kazhagam,Tamil Nadu,Sriperumbudur,General,1,Male,T R Baalu,Social Worker,Graduate,,Social worker,,,,,,,,
22,Bharatiya Janata Party,Uttarakhand,Garhwal,General,1,Male,Anil Baluni,Social Worker,Graduate,,Social worker,,,,,,,,
25,All India Trinamool Congress,West Bengal,Kolkata Uttar,General,1,Male,Sudip Bandyopadhyay,Social Worker,Graduate,,Social worker,,,,,,,,
26,All India Trinamool Congress,West Bengal,Diamond Harbour,General,1,Male,Abhishek Banerjee,Social Worker,Graduate,,Social worker,,,,,,,,
28,All India Trinamool Congress,West Bengal,Howrah,General,1,Male,Prasun Banerjee,Social Worker,Graduate,,Social worker,,,,,,,,
33,Bharatiya Janata Party,Assam,Lakhimpur,General,1,Male,Pradan Baruah,Social Worker,Diploma,,Social worker,,,,,,,,
34,Indian Union Muslim League,Kerala,Malappuram,General,1,Male,E T Mohammed Basheer,Social Worker,10th,,Social worker,,,,,,,,
42,Bharatiya Janata Party,Maharashtra,Satara,General,1,Male,Chh. Udayanraje Pratapsinha Maharaj Bhonsle,Social Worker,Graduate,,Social worker,,,,,,,,
46,Bharatiya Janata Party,Uttar Pradesh,Bhadohi,General,1,Male,Vinod Kumar Bind,Social Reformer cum Politician,Post Graduate,,Social worker,,,,,,,,
51,Indian National Congress,Haryana,Sonipat,General,1,Male,Satpal Brahamchari,Social Service,,,Social worker,,,,,,,,
64,AJSU Party,Jharkhand,Giridih,General,1,Male,Chandra Prakash Choudhary,Social Worker,Graduate,,Social worker,,,,,,,,
77,Bharatiya Janata Party,Tripura,Tripura West,General,1,Male,Biplab Kumar Deb,Social Worker,,,Social worker,,,,,,,,
78,Bharatiya Janata Party,Odisha,Bolangir,General,1,Female,Sangeeta Kumari Singh Deo,Social Worker,Graduate,,Social worker,,,,,,,,
83,Bharatiya Janata Party,Jharkhand,Kodarma,General,1,Female,Annpurna Devi,Social Worker,Post Graduate,,Social worker,,,,,,,,
84,Bharatiya Janata Party,Odisha,Kalahandi,General,1,Female,Malvika Devi,Social worker,Diploma,,Social worker,,,,,,,,
94,Indian National Congress,Kerala,Ernakulam,General,1,Male,Hibi Eden,Social Worker,Graduate,CV,Social worker,,,,,,,,
102,Bharatiya Janata Party,Arunachal Pradesh,Arunachal East,General,1,Male,Tapir Gao,Social Worker,Post Graduate,,Social worker,,,,,,,,
108,Indian National Congress,Assam,Jorhat,General,1,Male,Gaurav Gogoi,Social Worker,Post Graduate,,Social worker,,,,,,,,
113,Bharatiya Janata Party,Madhya Pradesh,Mandsour,General,1,Male,Sudheer Gupta,Social Worker,Post Graduate,,Social worker,,,,,,,,
132,Bharatiya Janata Party,Gujarat,Vadodara,General,,Male,Hemang Joshi,Social Worker,Graduate,MyNeta,Social worker,,,,,,,,
138,Communist Party of India,Tamil Nadu,Tiruppur,General,1,Male,Subbarayan K,Social Worker,10th,,Social worker,,,,,,,,
145,Bharatiya Janata Party,Karnataka,Bangalore North,General,1,Female,Km. Shobha Karandlaje,Social Worker,Post Graduate,,Social worker,,,,,,,,
148,Bharatiya Janata Party,Maharashtra,Raver,General,1,Female,Raksha Nikhil Khadse,Social Worker,Graduate,,Social worker,,,,,,,,
153,Bharatiya Janata Party,Jammu and Kashmir,Jammu,General,1,Male,Jugal Kishore,Social Worker,Under Graduate,,Social worker,,,,,,,,
155,Bharatiya Janata Party,Telangana,Karimnagar,General,1,Male,Bandi Sanjay Kumar,Social Service & Politics,Post Graduate,,Social worker,,,,,,,,
162,Samajwadi Party,Uttar Pradesh,Jaunpur,General,1,Male,Babu Singh Kushwaha,Social Service,,,Social worker,,,,,,,,
182,Janata Dal (United),Bihar,Bhagalpur,General,1,Male,Ajay Kumar Mandal,Social Service,Under Matric,,Social worker,,,,,,,,
185,Bharatiya Janata Party,Uttar Pradesh,Deoria,General,1,Male,Shashank Mani,Social Service,Post Graduate,,Social worker,,,,,,,,
199,Bharatiya Janata Party,Uttar Pradesh,Varanasi,General,1,Male,Narendra Modi,Social Worker,Graduate,,Social worker,,,,,,,,
201,Samajwadi Party,Uttar Pradesh,Rampur,General,1,Male,Mohibbullah,Social Worker,Post Graduate,,Social worker,,,,,,,,
217,Bharatiya Janata Party,Odisha,Kendrapara,General,1,Male,Baijayant Panda,Social Worker,Post Graduate,,Social worker,,,,,,,,
222,Bharatiya Janata Party,Odisha,Dhenkanal,General,1,Male,Rudra Narayan Pany,Social Service,Graduate,,Social worker,,,,,,,,
223,Indian National Congress,Kerala,Vadakara,General,1,Male,Shafi Parambil,Social Worker,Post Graduate,,Social worker,,,,,,,,
224,Bharatiya Janata Party,Madhya Pradesh,Balaghat,General,1,Female,Bharti Pardhi,Social Service,Graduate,,Social worker,,,,,,,,
227,Samajwadi Party,Uttar Pradesh,Pratapgarh,General,1,Male,Shiv Pal Singh Patel,Social Service,Post Graduate,,Social worker,,,,,,,,
233,Apna Dal (Soneylal),Uttar Pradesh,Mirzapur,General,1,Female,Anupriya Patel,Social Worker,Graduate,,Social worker,,,,,,,,
243,Bharatiya Janata Party,Odisha,Sambalpur,General,1,Male,Dharmendra Pradhan,Social Service & Politics,Post Graduate,,Social worker,,,,,,,,
244,Indian National Congress,Kerala,Attingal,General,1,Male,Adv. Adoor Prakash,Social Worker,Graduate,,Social worker,,,,,,,,
252,Bharatiya Janata Party,Andhra Pradesh,Rajahmundry,General,1,Female,Daggubati Purandeswari,Social Worker,Graduate,,Social worker,,,,,,,,
275,Bharatiya Janata Party,Uttarakhand,Haridwar,General,1,Male,Trivendra Singh Rawat,Social Worker,Post Graduate,,Social worker,,,,,,,,
278,Bharatiya Janata Party,Telangana,Secunderabad,General,1,Male,G Kishan Reddy,Social Worker,Diploma,,Social worker,,,,,,,,
285,Bharatiya Janata Party,Arunachal Pradesh,Arunachal West,General,1,Male,Kiren Rijiju,Social Worker,Graduate,,Social worker,,,,,,,,
286,All India Trinamool Congress,West Bengal,Kolkata Dakshin,General,1,Female,Mala Roy,Social Service,Graduate,,Social worker,,,,,,,,
288,Bharatiya Janata Party,Bihar,Saran,General,1,Male,Rajiv Pratap Rudy,Social Worker,Graduate,,Social worker,,,,,,,,
293,Bharatiya Janata Party,Chhattisgarh,Bilaspur,General,1,Male,Tokhan Sahu,Social worker,Post Graduate,,Social worker,,,,,,,,
294,Bharatiya Janata Party,Uttar Pradesh,Unnao,General,1,Male,Swami Sachidanand Hari Sakshi,Social Worker,Doctorate,,Social worker,,,,,,,,
299,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Mumbai South,General,1,Male,Arvind Ganpat Sawant,Social Worker,Graduate,,Social worker,,,,,,,,
300,Bharatiya Janata Party,Madhya Pradesh,Guna,General,1,Male,Jyotiraditya M Scindia,Social Worker,Graduate,,Social worker,,,,,,,,
305,Bharatiya Janata Party,Gujarat,Gandhinagar,General,1,Male,Amit Shah,Social Activist,Graduate,,Social worker,,,,,,,,
306,Bharatiya Janata Party,Uttarakhand,Tehri Garhwal,General,1,Female,Mala Rajya Laxmi Shah,Social Worker,12th,,Social worker,,,,,,,,
313,Bharatiya Janata Party,Rajasthan,Jaipur,General,1,Female,Manju Sharma,Social Reformer,Post Graduate,,Social worker,,,,,,,,
324,Bharatiya Janata Party,Haryana,Bhiwani-Mahendragarh,General,1,Male,Dharambir Singh,Social Worker,Graduate,,Social worker,,,,,,,,
333,Communist Party of India (Marxist-Lennist Liberation),Bihar,Karakat,General,1,Male,Raja Ram Singh,Social Activist,Graduate,,Social worker,,,,,,,,
334,Janata Dal (United),Bihar,Munger,General,1,Male,Rajiv Ranjan Singh,Social Worker,Graduate,,Social worker,,,,,,,,
338,Rashtriya Janata Dal,Bihar,Buxar,General,1,Male,Sudhakar Singh,Social worker,Graduate,,Social worker,,,,,,,,
341,Rashtriya Janata Dal,Bihar,Aurangabad,General,1,Male,Abhay Kumar Sinha,Social worker,,,Social worker,,,,,,,,
347,Bharatiya Janata Party,West Bengal,Kanthi,General,1,Male,Adhikari Soumendu,Social Activist,Post Graduate,,Social worker,,,,,,,,
348,Indian National Congress,Kerala,Palakkad,General,,Male,V K Sreekandan,Social Service,Graduate,,Social worker,,,,,,,,
366,Bharatiya Janata Party,Bihar,Darbhanga,General,1,Male,Gopal Jee Thakur,Social Worker,Post Graduate,,Social worker,,,,,,,,
372,Indian National Congress,Kerala,Kasaragod,General,1,Male,Rajmohan Unnithan,Social Worker,Graduate,,Social worker,,,,,,,,
381,Indian National Congress,Kerala,Alappuzha,General,1,Male,K C Venugopal,Social Worker,Post Graduate,,Social worker,,,,,,,,
385,Samajwadi Party,Uttar Pradesh,Moradabad,General,1,Female,Ruchi Vira,"Social Worker, working for the Girl Child Education",Post Graduate,,Social worker,,,,,,,,
400,Rashtriya Janata Dal,Bihar,Jahanabad,General,1,Male,Surendra Prasad Yadav,Social Worker,Doctorate,,Social worker,,,,,,,,
401,Samajwadi Party,Uttar Pradesh,Mainpuri,General,1,Female,Dimple Yadav,Social Worker,Graduate,,Social worker,,,,,,,,
420,Bharatiya Janata Party,Madhya Pradesh,Ujjain,Scheduled Caste,1,Male,Anil Firojiya,Social worker,Graduate,,Social worker,,,,,,,,
438,Bharatiya Janata Party,Madhya Pradesh,Tikamgarh,Scheduled Caste,1,Male,Virendra Kumar,Social Worker,Post Graduate,,Social worker,,,,,,,,
443,All India Trinamool Congress,West Bengal,Bolpur,Scheduled Caste,1,Male,Asit Kumar Mal,Social Worker,University Entrance Examination,,Social worker,,,,,,,,
445,Hindustani Awam Morcha (Secular),Bihar,Gaya,Scheduled Caste,1,Male,Jitan Ram Manjhi,Social Activist,Graduate,,Social worker,,,,,,,,
446,Bharatiya Janata Party,Rajasthan,Bikaner,Scheduled Caste,1,Male,Arjun Ram Meghwal,Social Worker,Post Graduate,,Social worker,,,,,,,,
447,All India Trinamool Congress,West Bengal,Arambagh,Scheduled Caste,1,Female,Bag Mitali,Social Worker,Post Graduate,,Social worker,,,,,,,,
481,Bharatiya Janata Party,West Bengal,Bangaon,Scheduled Caste,1,Male,Shantanu Thakur,Social Service & Politics,Graduate,,Social worker,,,,,,,,
482,Viduthalai Chiruthaigal Katchi,Tamil Nadu,Chidambaram,Scheduled Caste,1,Male,Thirumaavalavan Tholkappiyan,Social Worker,Graduate,,Social worker,,,,,,,,
485,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Shirdi,Scheduled Caste,1,Male,Bhausaheb Rajaram Wakchaure,Social Worker,Graduate,,Social worker,,,,,,,,
487,Indian National Congress,Manipur,Outer Manipur,Scheduled Tribe,,Male,Alfred Kanngam S Arthur,Social Worker and Agriculture,,MyNeta,Social worker,Agricuture,,,,,,,
492,Indian National Congress,Jharkhand,Lohardaga,Scheduled Tribe,1,Male,Sukhdeo Bhagat,Social Service,Post Graduate,,Social worker,,,,,,,,
501,Bharatiya Janata Party,Odisha,Nabarangpur,Scheduled Tribe,1,Male,Balabhadra Majhi,Social Worker,Graduate,,Social worker,,,,,,,,
509,Bharatiya Janata Party,Odisha,Keonjhar,Scheduled Tribe,1,Male,Ananta Nayak,Social Worker,Diploma,,Social worker,,,,,,,,
514,Indian National Congress,Telangana,Mahabubabad,Scheduled Tribe,1,Male,Balram Naik Porika,Social Worker,Graduate,,Social worker,,,,,,,,
534,Bharatiya Janata Party,Gujarat,Bardoli,Scheduled Tribe,1,Male,Parbhubhai Nagarbhai Vasava,Social Worker,Diploma,,Social worker,,,,,,,,
536,Indian National Congress,Karnataka,Davangere,General,1,Female,Prabha Mallikarjun,Social Service,Graduate,,Social worker,,,,,,,,
541,Bharatiya Janata Party,Andaman and Nicobar Islands,Andaman and Nicobar Islands,General,1,Male,Bishnu Pada Ray,Social Worker,Graduate,,Social worker,,,,,,,,
130,All India Trinamool Congress,West Bengal,Bardhaman-Durgapur,General,1,Male,Azad Kirti Jha,Sportsperson,Graduate,,Sports,,,,,,,,
364,Bharatiya Janata Party,Himachal Pradesh,Hamirpur,General,1,Male,Anurag Singh Thakur,Sportsperson,Graduate,,Sports,,,,,,,,
402,All India Trinamool Congress,West Bengal,Baharampur,General,1,Male,Pathan Yusuf,Sportsperson,10th,,Sports,,,,,,,,